id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
"2020-1437721","2020-12-29","1","Vente","30000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","723","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2020-1437541","2020-12-18","1","Vente","536000.0","7","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0024","None","None","132","nan","66","nan","None","nan","None","None","None","None","2","2","Appartement","53.0","3","None","None","None","None","None","2.374524","48.860055","000BB"
"2020-1437203","2020-11-26","1","Vente","465000.0","11","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0050","None","None","1","nan","9","nan","None","nan","None","None","None","None","2","2","Appartement","34.0","2","None","None","None","None","None","2.374698","48.860234","000BB"
"2020-1436709","2020-10-26","1","Vente","258980.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1018","nan","1121","26.08","None","nan","None","None","None","None","2","2","Appartement","26.0","1","None","None","None","None","None","2.373428","48.860671","000BB"
"2020-1436847","2020-10-23","1","Vente","335000.0","8","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0014","None","None","70","27.02","None","nan","None","nan","None","None","None","None","1","2","Appartement","26.0","2","None","None","None","None","None","2.37449","48.860429","000BB"
"2020-1436804","2020-10-16","1","Vente","987005.6","78","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0011","None","None","49","80.84","None","nan","None","nan","None","None","None","None","1","2","Appartement","83.0","4","None","None","None","None","None","2.374401","48.860937","000BB"
"2020-1436324","2020-10-01","1","Vente","240100.0","4","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0016","None","None","6","22.97","None","nan","None","nan","None","None","None","None","1","2","Appartement","23.0","2","None","None","None","None","None","2.374909","48.860534","000BB"
"2020-1436224","2020-09-21","1","Vente","26500.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","633","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2020-1436055","2020-09-16","1","Vente","19500.0","7","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0024","None","None","255","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.374524","48.860055","000BB"
"2020-1435549","2020-07-22","1","Vente","14500.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","642","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2020-1435438","2020-07-02","1","Vente","630000.0","7","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0024","None","None","23","56.09","None","nan","None","nan","None","None","None","None","1","2","Appartement","55.0","3","None","None","None","None","None","2.374524","48.860055","000BB"
"2020-1435438","2020-07-02","1","Vente","630000.0","7","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0024","None","None","113","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.374524","48.860055","000BB"
